[jnyz-app/server]2024/05/19 - 22:01:08.541	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:03:48.494	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:03:48.628	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:03:48.729	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:07:33.288	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/system/sys_institution.go:132	获取失败!	{"error": "record not found"}
[jnyz-app/server]2024/05/19 - 22:08:48.143	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/system/sys_institution.go:132	获取失败!	{"error": "record not found"}
[jnyz-app/server]2024/05/19 - 22:09:21.104	[31merror[0m	/home/amos/repo/jnyz-app/server/core/server.go:49	accept tcp [::]:9999: use of closed network connection
[jnyz-app/server]2024/05/19 - 22:09:26.416	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/system/sys_institution.go:134	获取失败!	{"error": "record not found"}
[jnyz-app/server]2024/05/19 - 22:10:16.201	[31merror[0m	/home/amos/repo/jnyz-app/server/core/server.go:49	accept tcp [::]:9999: use of closed network connection
[jnyz-app/server]2024/05/19 - 22:10:30.185	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:10:30.226	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:10:30.266	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:10:33.027	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:10:33.086	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:10:33.117	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:11:24.360	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:11:24.446	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_save.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_SAV_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:11:24.482	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_cur.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_CUR_DEPOSIT' doesn't exist"}
[jnyz-app/server]2024/05/19 - 22:11:50.656	[31merror[0m	/home/amos/repo/jnyz-app/server/api/v1/data/data_deposit_detail_corp.go:67	获取失败!	{"error": "Error 1146 (42S02): Table 'test.DATA_COR_DEPOSIT' doesn't exist"}
